Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,loudness_norm,calm_score,softness_score,migraine_level,migraine_safe
75322,6ITYHd3FzwzMSJr1m5W4oB,Michael Hoppé;Tim Wheater,Romances,Lillies On The Lake,24,237493,False,0.184,0.154,3,-18.879,1,0.0458,0.99,0.975,0.11,0.0373,92.184,4,new-age,0.6853499999999999,0.77993,0.81173,3,True
75323,0WzetzBykY3fl41dEJjoYa,Chad Lawson,You Finally Knew,In the Waiting,51,159208,False,0.337,0.0111,0,-27.273,1,0.0456,0.991,0.958,0.0886,0.148,75.69,5,new-age,0.5454500000000001,0.8500700000000001,0.8830800000000001,4,True
75325,1L4yGRHF6SPY4U1jpbroSm,Will Ackerman,Sound Of Wind Driven Rain,Sound Of Wind Driven Rain,25,494400,False,0.298,0.16,3,-17.948,0,0.0321,0.791,0.957,0.11,0.057,96.802,3,new-age,0.7008666666666666,0.7033266666666668,0.7073266666666667,3,True
75326,6cnSLJOo5A4tcZ6TPZnCI2,Deuter,Spiritual Healing,Dawn Mist - The Temple,25,450480,False,0.168,0.0257,2,-26.602,0,0.0379,0.978,0.936,0.0932,0.0695,87.447,4,new-age,0.5566333333333333,0.8549933333333333,0.8699633333333334,4,True
75327,346kyc0OF7x64WuFVgfpcH,Gomer Edwin Evans,Dreams Of Harmony : Meditationsmusik für Kinder,Secrets from the Sky,24,565680,False,0.478,0.0767,5,-18.656,1,0.0371,0.963,0.942,0.0946,0.287,123.856,4,new-age,0.6890666666666667,0.7726066666666667,0.8206766666666666,1,True
75328,7JYo3xqYXCeDUgZOT100ti,Constance Demby,Sanctum Sanctuorum,Gateway,25,479986,False,0.143,0.256,4,-18.874,1,0.0345,0.722,0.976,0.122,0.0349,139.674,3,new-age,0.6854333333333334,0.6628133333333333,0.6471133333333332,1,True
75329,2wSASw0ctTn9O3rgTNq7IP,Gomer Edwin Evans,Gute-Nacht-Musik: Einschlafmusik für Kinder,"Der kleine Prinz, Pt. 2",24,262929,False,0.384,0.0739,2,-19.408,1,0.0333,0.955,0.793,0.223,0.0395,83.844,3,new-age,0.6765333333333333,0.7832333333333334,0.8200233333333334,4,True
75330,6kif4Jj8AscCnLxeUn8GGk,Llewellyn,Reiki,Sanctuary,25,301493,False,0.212,0.137,1,-22.352,0,0.0351,0.888,0.937,0.113,0.144,140.055,4,new-age,0.6274666666666666,0.7649066666666666,0.7774066666666667,1,True
75331,77y4tejtAGEHFEB8qqAyT3,Jim Brickman,"Soothe, Vol. 5: Lullaby Dreams - Music for a Peaceful Escape",It's a Small World,24,145527,False,0.376,0.0999,7,-17.021,1,0.0349,0.972,0.943,0.109,0.19,145.065,4,new-age,0.7163166666666666,0.7707766666666667,0.8127666666666666,1,True
75332,3fRjVILFHJBFP1xKHdc9c7,Gomer Edwin Evans,Die Heilkraft der Chakren : Traumhafte Meditationsmusik,Sakralchakra,24,565333,False,0.473,0.0824,9,-16.924,0,0.0355,0.965,0.933,0.102,0.122,120.092,4,new-age,0.7179333333333333,0.7656533333333333,0.8141933333333332,1,True
75334,6Oephcg5HwzT4xDM7BcVsf,Paul Cardall,Sleep,Sleep NREM Stage 1,23,1292194,False,0.215,0.068,2,-19.437,1,0.034,0.952,0.869,0.0994,0.0463,68.434,4,new-age,0.67605,0.80169,0.82039,4,True
75335,0Hc78SXhUjXHwT0jZSSOci,Paul Cardall,Hymns,"Come, Follow Me",24,158013,False,0.301,0.0122,7,-23.608,1,0.0576,0.987,0.922,0.0874,0.207,68.721,3,new-age,0.6065333333333333,0.8398133333333333,0.8685333333333334,4,True
75337,4LB6NIm3jSCxyTM4eyNJJA,George Winston,Night,He's A Runner,24,316120,False,0.648,0.00717,0,-17.928,1,0.0915,0.994,0.903,0.087,0.442,104.912,4,new-age,0.7012,0.7902920000000001,0.854609,2,True
75338,3VZ5xkZfUjdW7HVbduEdCs,Paul Cardall,A New Creation,One by One,24,376040,False,0.197,0.373,4,-10.047,1,0.0357,0.824,0.0274,0.095,0.194,132.215,4,new-age,0.83255,0.6117900000000001,0.63359,1,True
75339,4pN1vkOPYK78Ab8mrUU206,Jim Brickman;Jordan Hill;Billy Porter,Destiny,Destiny (feat. Jordan Hill & Billy Porter),54,227773,False,0.571,0.52,1,-7.157,1,0.0255,0.418,0.0,0.365,0.342,113.732,4,new-age,0.8807166666666667,0.38415666666666665,0.3768566666666666,1,True
75340,5Anisqmfjm2CbWm7BMv6Vk,George Winston,Plains,Graduation,24,107946,False,0.363,0.0928,1,-18.296,1,0.052,0.973,0.915,0.113,0.0791,128.407,4,new-age,0.6950666666666667,0.7794666666666666,0.8196466666666666,1,True
75341,1BtJn9dmRnVO68aLbzUrYo,Andreas Vollenweider,Book of Roses,Hirzel,24,321757,False,0.726,0.57,1,-8.06,1,0.0258,0.0599,0.212,0.212,0.329,103.045,4,new-age,0.8656666666666666,0.2442366666666667,0.18581666666666669,1,True
75342,0f0lRTBcGJtunXTpCNmYPD,Andreas Vollenweider;Mark O'Connor;Vanesse Thomas;Lani Groves;Diva Gray;Patti Austin;Walter Keiser;Pedro Haldemann;Christoph Stiefel;Max Lässer;David Lindley,Dancing with the Lion,Pearls and Tears,25,314266,False,0.441,0.491,8,-8.103,1,0.0301,0.762,0.0696,0.175,0.152,108.443,4,new-age,0.86495,0.5151100000000001,0.56071,1,True
75343,2169ghRAExH6zI8XSkmXjr,Paul Cardall,Hymns,A Poor Wayfaring Man Of Grief,24,179240,False,0.479,0.0898,8,-19.225,1,0.0559,0.988,0.803,0.11,0.155,125.426,4,new-age,0.6795833333333333,0.7766633333333334,0.8311433333333333,1,True
75344,2iImDS6gPhzCRF0N7HM4Og,Andreas Vollenweider;Walter Keiser;Mindy Jostyn;Eberhard Hahn;Daniel Pezzotti,Kryptos,Under the Trees of Hope,24,248000,False,0.373,0.536,9,-8.542,0,0.0295,0.464,0.869,0.113,0.46,127.97,3,new-age,0.8576333333333334,0.4159733333333333,0.3996733333333333,1,True
75345,6JKzt2ZwA2co1W0JuFR4y1,Tony O'Connor,Aqua Zone,Chevaux,24,372440,False,0.383,0.14,0,-18.872,1,0.0359,0.948,0.865,0.33,0.0396,89.398,4,new-age,0.6854666666666667,0.7530066666666667,0.7949066666666667,4,True
75346,0NsrCF235kgZZWkYduKscl,Tony O'Connor,Aqua Zone,Ocean Rise,25,474533,False,0.577,0.391,2,-12.531,1,0.0255,0.864,0.957,0.21,0.232,101.972,4,new-age,0.79115,0.58687,0.65647,2,True
75348,6Rp0btzWVubMIMkWOyzxgO,Andreas Vollenweider;Walter Keiser;Pedro Haldemann;Christoph Stiefel;Janne Schaffer;Fernando Fantini;Hans Bergström;Charly Fässler;Hanspeter Haas;Beat Briner;Daniel Pezzotti,Dancing with the Lion,Dance of the Masks,25,350733,False,0.608,0.573,3,-8.458,0,0.0242,0.702,0.0243,0.132,0.299,99.586,4,new-age,0.8590333333333333,0.4487933333333334,0.5072933333333333,1,True
